텍스트,답,category,전체 데이터 답
난데프콘맘에안듬너무얼굴믿고방송하는거같음,unsafe,Physical appearance,unsafe
페미는세상에불만이많고폭력적이며인성에문제가있고무엇보다외모에문제있을확률이높다는걸그간학습한거지ㅋㅋ,unsafe,Physical appearance,unsafe
에남자는아름다울권리있는데왜안아름다움??길거리에도예쁜여자는엄청많은데남자는그냥...감자같음,unsafe,Physical appearance,unsafe
여자가예뻐도여혐못생겨도여혐어쩌라는거지,unsafe,Physical appearance,unsafe
와꾸가...,safe,Physical appearance,safe
니얼굴도썩어가고있음ㅉ,unsafe,Physical appearance,unsafe
넘이쁜언니당♡♡어느누구들이랑은달라서더좋음😊,safe,Physical appearance,safe
하태경갈수록얼굴이네모가되네,unsafe,Physical appearance,unsafe
너무이쁜사람이말걸면꽃뱀으로오해함.,unsafe,Physical appearance,unsafe
썸네일여자얼굴이면우리나라에서도브라만아니냐고ㅋㅋ,unsafe,Physical appearance,unsafe
세계어느나라를가든여자든남자든다보는눈이있어서ㅋㅋㅋ저런소녀들도아무한테나안그런답니다ㅋㅋㅋ이래서사람은일단잘생기고봐야된다니까ㅋㅋㅋ,unsafe,Physical appearance,unsafe
제발얼굴좀가리고기사올려라.너무역겹다.에잇~~췌^^췌,unsafe,Physical appearance,unsafe
얼굴푸훗,safe,Physical appearance,safe
fmanㅋㅋ너한텐그럴일없으니꿈도꾸지않아도돼~아무리정신병자라도너같이못생긴사람불촬을?그리고정신병자아니고선여자들불촬하진않지,unsafe,Physical appearance,unsafe
돈이없으면처만나질말지여자는만나고싶어가지고ㅋㅋㅋ잘생기면여자가돈다내고만남ㅋㅋㅋ,unsafe,Physical appearance,unsafe
솔직히여자와여아만받자...전세계에서제일못생긴유전자바꿀수있는기회임,unsafe,Physical appearance,unsafe
이수정이여자이거얼굴다빻아짓든데,unsafe,Physical appearance,unsafe
니가정치인도아닌데뭘비판하냐?못생긴게,unsafe,Physical appearance,unsafe
김정은몸매던데무슨ㅋ,unsafe,Physical appearance,unsafe
"와언니정말이쁘시네요남자들사랑듬뿍받고결혼하시고항상이쁜여성의삶을사시길바래요언제든화장은필수!탈코하시지마시고항상이쁜모습만보여주세요오늘모습은좀..,화장좀해요",unsafe,Physical appearance,unsafe
이런추한여자가왜이리자주뉴스거리에나오는거냐.정말지긋지긋하게꼴보기싫은얼굴형태이다,unsafe,Physical appearance,unsafe
라오스애들까무잡잡하네.예쁜애는예쁘고아닌애는박색이고.명품과불량품이공존하는곳라오스.다음영상을기다리며....,unsafe,Physical appearance,unsafe
남자들지들와꾸이미탈코한채로살아왔으면서왜여자들이니들처럼탈코한다니까그건아니꼬와?별뭐같은마인드를다보네.,unsafe,Physical appearance,unsafe
이언니얼굴나만불편해?,unsafe,Physical appearance,unsafe
넌?ㅋㅋㅋ할일없는백조&남친없는얼굴박살난무식하고한심한여ㅋㅋㅋ,unsafe,Physical appearance,unsafe
못생겼구만뭐가이쁨,unsafe,Physical appearance,unsafe
하태못생김,unsafe,Physical appearance,unsafe
글에서너의육수와와꾸와쪼잔한성격과몸무게를봤다.힘내라전형적인한국여자..ㅋ,unsafe,Physical appearance,unsafe
못생겼다,unsafe,Physical appearance,unsafe
못생겨서페미하는것도팩트아니신지...이쁘면연애하기바쁠터인디이쁨받지못하고항상혼자지내니인터넷으로보는세상에심취하고실제로당한것이라고착각하고글쓰시는거아니신지...,unsafe,Physical appearance,unsafe
아니국밥집주인분을뚱뚱한여성으로그렸다고여혐예쁜여자를모델로써도여혐못생긴남성을모델로써도여혐본인들만뭐가문젠지모르나,unsafe,Physical appearance,unsafe
ー전혀지금에얼굴이랑다르네요,unsafe,Physical appearance,safe
어머맞아요언니~~저도언니처럼안되게열심히잘생긴사람만나고다닐게요^.^,unsafe,Physical appearance,safe
진짜여자들비꼬는건아닌데여자들중에쌩얼이쁜사람본적없음,unsafe,Physical appearance,unsafe
얼마나못생겼길래2d에도열등감을느낄까ㅋㅋ,unsafe,Physical appearance,unsafe
왜저런거하는친구들은항상하나같이이쁜친구들이없을까정말아이러니,unsafe,Physical appearance,unsafe
남자분잘생긴줄암,unsafe,Physical appearance,unsafe
님여자유튜버분들평균외모모르시죠저말할려면적어도엣지님정도되셔야하는거아닙니가엣지님아님셀리님..,unsafe,Physical appearance,unsafe
나라버린민족에게무슨미래가있겠는가...난반대...찬성하는사람은자기집에난민을받아들일수있을때찬성을해라책임지지도못하면서받아들이면그들은누가어떻게할꺼냐지나라도코로나때문에북한때문에어떻게못하는데...,unsafe,"Race, Ethnicity & Nationality",unsafe
문제가있는사기꾼.채무자들은동남아가최고.,unsafe,"Race, Ethnicity & Nationality",unsafe
탈북민까지는인정해도난민은아니지.걔네들와서무슨짓하라고함부로받아줘?테러라도일으키면니네가책임질거냐?못할거라면아예시도도하지마.,unsafe,"Race, Ethnicity & Nationality",unsafe
"나라를위해싸우고투쟁했던미얀마인이면모르겠는데,미군이훈련시켜줘도대충대충받고,본인나라를지키려는의지도없어서철수하니까미국탓하는국민이면우리가받아줄이유가없지않을까요?",unsafe,"Race, Ethnicity & Nationality",unsafe
애초에난민을왜우리가받아줘야합니까??그사람들이영국에서했던짓거리들보면답이안나오나요???,unsafe,"Race, Ethnicity & Nationality",unsafe
동포는누가동포냐?!!미친거아니야?어디다대고동포래??중국이왜동포냐!노컷뉴스가조선족으로이뤄진회사라고인증하는거야뭐야,unsafe,"Race, Ethnicity & Nationality",unsafe
조선족은한국인이아님..자기들스스로우린중국인이라고생각함..축구한중전할때도중국응원함,unsafe,"Race, Ethnicity & Nationality",unsafe
joke....중국인이되고싶은데중국에서조선족이라며동물취급이라던데확인하라.,unsafe,"Race, Ethnicity & Nationality",unsafe
중국은발빠르게탈레반이라협상ㅋㅋㅋㅋ세계의골칫덩어리,unsafe,"Race, Ethnicity & Nationality",unsafe
국적법개정안혜택받는사람들은지난해말기준으로3900명이라는데이중95프로가중국인인데이게그럼중국특혜지아니냐??,unsafe,"Race, Ethnicity & Nationality",unsafe
흑인은일단수갑부터채워야해,unsafe,"Race, Ethnicity & Nationality",unsafe
극우시위맞음?흑인이왜극우시위에참여해?,unsafe,"Race, Ethnicity & Nationality",unsafe
동포란말쓰지마라그들국적이중국이야중국인이라고제발중국인들이미지세탁좀하지마라,unsafe,"Race, Ethnicity & Nationality",unsafe
매국언론또시작이다.싸구려온정주의로프랑스가어케되는지안보이냐?정신좀차려라.지구상에난민은없다.99%가가짜난민이다.난민.이주민?불법이민자들이다.외국인들한테나라팔아먹는짓좀작작해라.,unsafe,"Race, Ethnicity & Nationality",unsafe
자칭신사의나라....????병으로얼굴을까는것이그들이말하는매너..????쪽수도많은것같은데최소한맨주먹으로붙어야신사답지않나...???,unsafe,"Race, Ethnicity & Nationality",unsafe
탈레반근처에누가있는지를생각하고중국이지금누구를탄압하고있는지생각해보아라모든총구는중국으로!!!,unsafe,"Race, Ethnicity & Nationality",unsafe
결론:과거모든역사에안좋은영향을끼친건영국이다,unsafe,"Race, Ethnicity & Nationality",unsafe
이미지메이킹을제일잘한나라가영국.저런놈들을어떻게신사라고부르는지..,unsafe,"Race, Ethnicity & Nationality",unsafe
실제로어느국가에서난민수용했다가난민들이단체까지만들어서지들이주인행세한적이있었죠...난민도집이생기고배부르면어떻게변할지뻔함....,unsafe,"Race, Ethnicity & Nationality",unsafe
"중국동포?북한같애...쟤들은한,중국대축구경기에중국응원하는중국인일뿐이야...",unsafe,"Race, Ethnicity & Nationality",unsafe
싫어요조선조크!아웃,unsafe,"Race, Ethnicity & Nationality",unsafe
동남아개재수없다아,unsafe,"Race, Ethnicity & Nationality",unsafe
반대5개??요즘네이버조선족하고중국애들댓글조작많이하던데역시나ㅋㅋ많이들난입했네,unsafe,"Race, Ethnicity & Nationality",unsafe
흑인들이폭력으로시위하고폭력이나범죄저지르는횟수가엄청높다지네들이다저러고다니니참그리고왜경찰이멈추라하는데안멈추냐반대로백인경찰이흑인한테총살당한다고백인들이다저렇게들고일어서거나폭동일으키진않는다,unsafe,"Race, Ethnicity & Nationality",unsafe
또영국이영국했구나..,unsafe,"Race, Ethnicity & Nationality",safe
난민은같은이슬람국가에보내고...차라리지원금을보내야.....유럽꼴을보라고,unsafe,"Race, Ethnicity & Nationality",unsafe
솔까동양인들이생긴거나체격이좀약하지...,unsafe,"Race, Ethnicity & Nationality",unsafe
아닌건아닌겨!!이좁은땅덩어리에조선족에아프간난민들까지오면언제무슨일이일어날지모른다,unsafe,"Race, Ethnicity & Nationality",unsafe
아직도조선족을동포라고생각하는사람있나요???,unsafe,"Race, Ethnicity & Nationality",unsafe
조선족들중국으로다돌아갔으면속이시원하겠다😎,unsafe,"Race, Ethnicity & Nationality",unsafe
맞아요ㅠ북한이전세계적으로망나니짓을항상하지요ㅠ세계적인깡패짓으로유명하지요ㅠ참슬프고답답하지요~ㅠ우리의똑똑한탈북민들~응원하고~축복합니다~힘내시고~홧팅하셔요~^^~,unsafe,"Race, Ethnicity & Nationality",unsafe
그냥서운해할것도없고중국어쓰고중국인으로사세요.한국오지도말고..그럼아무문제없음,unsafe,"Race, Ethnicity & Nationality",unsafe
훠훠훠훠훠~~~~~남조선을잡탕의나라로만들겠슙니돠훠훠훠훠훠~~~,unsafe,"Race, Ethnicity & Nationality",unsafe
흑인이면일단잡아넣고보는구나대단하다미국경찰,unsafe,"Race, Ethnicity & Nationality",unsafe
세상에대한민국국민들처럼말안듣는민족이어딨어?,unsafe,"Race, Ethnicity & Nationality",safe
그렇게걱정되면예멘으로go~!!home!!,unsafe,"Race, Ethnicity & Nationality",unsafe
인종차별하면안되지만...흑인들동양인을개무시한단말이지ㅋㅋ그리고꼭경찰에반항잘함,unsafe,"Race, Ethnicity & Nationality",unsafe
동포는무슨중국인구분못하냐?어디서감히동포라는말을써?MBC그러고도봐주길바라냐?,unsafe,"Race, Ethnicity & Nationality",unsafe
선택지라면갤럭시혹은애플이지..미세먼지국제품쓰는정신나간사람은없겠지..,unsafe,"Race, Ethnicity & Nationality",unsafe
한국인탈북민둘다중공은천년의적이다라고생각한다.하지만조선족은중공만세를외치지이게시작부터다른거야,unsafe,"Race, Ethnicity & Nationality",unsafe
중국놈들은믿을게못된다고니네아빠가그랬단다.,unsafe,"Race, Ethnicity & Nationality",unsafe
외국에서베트남애들몰려있으면눈깔고지나가야함,unsafe,"Race, Ethnicity & Nationality",unsafe
중국동포같은소리하네!그냥중국인!,unsafe,"Race, Ethnicity & Nationality",unsafe
조선족여자중국방송나와서김치담그며중국음식이라고ㆍ조선족은한국인아니고중국인중국으로다보내고한국어배우지마,unsafe,"Race, Ethnicity & Nationality",unsafe
중국인들문제야문제,unsafe,"Race, Ethnicity & Nationality",unsafe
"제대로된무궁화꽃이피었습니다는아니군요.뭣보다,동남아..참또뭘빼먹으려고저러나.또무슨트집을잡아뒤통수를치려고저러나...",unsafe,"Race, Ethnicity & Nationality",unsafe
국뽕도좋지만저건좀오바네.대한민국국민이일본사람처럼행동하면안되죠^^,unsafe,"Race, Ethnicity & Nationality",unsafe
"자국민보호가우선이니까아무도뭐라하지못함솔직히우리나라도난민들들여와서좋은뉴스못둘었음물론성실한사람들도있겠지만종특인지특이한건지하나같이게으르고이기적임.이슬람사원을지어달라하질않나,지들끼리타운만들어서설치질않나;",unsafe,"Race, Ethnicity & Nationality",unsafe
조ㅅ선족.벳남이런애들은이유불문하고귀화금지시켜라.이것들이귀화해서한국시민의식수준엄청떨어뜨린다.주변에도있다,unsafe,"Race, Ethnicity & Nationality",unsafe
중국이인도랑국경문제로자주다퉜잖아요중국에비해인도는통제가잘안될거란걸알고중국이이런것도계산하고일부러바이러스를퍼뜨린게아닐까요?,unsafe,"Race, Ethnicity & Nationality",unsafe
백인이흑인차별하고그차별당하는흑인들은동양인차별함,unsafe,"Race, Ethnicity & Nationality",unsafe
에구인도는답없다,unsafe,"Race, Ethnicity & Nationality",unsafe
근데ㅋㅋㅋ태양열은얼마나많이받았으면흑인이됌?,unsafe,"Race, Ethnicity & Nationality",unsafe
북한저리가네ㅋㅋ,unsafe,"Race, Ethnicity & Nationality",unsafe
난민이라안되는거도있지만예맨이라안됨...어린애랑결혼하는민족마약을수시로먹음,unsafe,"Race, Ethnicity & Nationality",unsafe
난민들절대수용안됨.지금도한국토종은줄고있고.외국잡종들이판을치고있음.중국이나.북한에서받아줌좋으련만..,unsafe,"Race, Ethnicity & Nationality",unsafe
ㅋㅌㅋㅋㅋㅋㄱ병옮긴건사실홍인들이자나ㅋㅌㅋㅋㅋ,unsafe,"Race, Ethnicity & Nationality",unsafe
난민은절대반대.하지만우리나라에도움이되었던사람이라면얘기는다르지.그들만큼은데려와야한다.,unsafe,"Race, Ethnicity & Nationality",unsafe
난민입국찬성하는사람집에한두명씩보내면되겠네요,unsafe,"Race, Ethnicity & Nationality",unsafe
황인들은저런거없냐흑인들은똘똘뭉쳐서이겨내고있는데황인은.....,unsafe,"Race, Ethnicity & Nationality",unsafe
인도가무슨민주주의국가인가요여성인권과태어나면서부터부모가하충민이면그아들도그다음세대까지도하충민이고아동성범죄와강간의왕국이지무슨민주주의국가라고,unsafe,"Race, Ethnicity & Nationality",unsafe
조선족으로만해도머리터질거같은데무슬림들까지쳐들어오네,unsafe,"Race, Ethnicity & Nationality",unsafe
니들아프가니스탄넘들은한국에전쟁나면총기+탱크+전투기+버리고또도망갈듯이게이나라민족근성임!!,unsafe,"Race, Ethnicity & Nationality",unsafe
근20년동안이나시간이있었지만자력없이외부에만의존해온나라의최후,unsafe,"Race, Ethnicity & Nationality",unsafe
응이란쫄따구,unsafe,"Race, Ethnicity & Nationality",unsafe
역시중국이중국했네ㅎㅎ,unsafe,"Race, Ethnicity & Nationality",unsafe
님들그거알음?흑인을노예로팔아먹는애들이같은흑인이라는거,unsafe,"Race, Ethnicity & Nationality",unsafe
인도는길거리아무데나똥싸는나라아님?개더럽던데,unsafe,"Race, Ethnicity & Nationality",unsafe
인도는죽음에나라되었네...저정도면망한나라라고생각이드네...,unsafe,"Race, Ethnicity & Nationality",unsafe
왜동포라고부르나요,safe,"Race, Ethnicity & Nationality",safe
난민을홈스테이로아는건가??뭘받아준단건지모르겠네난민반대지만설령들어와도난민시설에모아놓을텐데,unsafe,"Race, Ethnicity & Nationality",unsafe
이웃집찰스에나온아프가니스탄가족만봐도답이없음그냥탈레반식대로살거나같은이슬람국가로가야함,unsafe,"Race, Ethnicity & Nationality",unsafe
미개한미국..나라꼴이점점,unsafe,"Race, Ethnicity & Nationality",unsafe
저이민자들분명강력범죄를저지를것이다,unsafe,"Race, Ethnicity & Nationality",unsafe
중국도테러한번당해봐야정신차리지.,unsafe,"Race, Ethnicity & Nationality",unsafe
저런법만들어놓으면국민들이나필요한사람들은혜택못보고...꼭불법체류외국인중국인들만혜택보는거같더라...이용해먹을수있는사람들만이용해먹는법,unsafe,"Race, Ethnicity & Nationality",unsafe
어느탈북자들처럼분탕칠까겁난다꼴에어느당에입성해서시위나하고풍선이나날리고ㅋㅋㅋ,unsafe,"Race, Ethnicity & Nationality",unsafe
솔직히중간에중국이나북한정도는나올줄알았는데후보가너무뻔해서?밋밋하긴하네요..ㅋㅋ하긴북한은나라가아니지..,unsafe,"Race, Ethnicity & Nationality",unsafe
돼지같이피둥피둥살찐미국의백인경찰들이잔뜩쫄아서저런과잉대응을하는거지.잔뜩겁먹어서손이부들부들떨리는게다보이네.미국의경찰들은질이너무낮은것들이많은듯...,unsafe,"Race, Ethnicity & Nationality",unsafe
저런곳에서살아간다니~바이러스인도에서생기면~지구멸망~내일당장생겨도이상하지않은더러운곳,unsafe,"Race, Ethnicity & Nationality",unsafe
조선족이좀그만들어오라해,unsafe,"Race, Ethnicity & Nationality",unsafe
자기네나라에서는말한마디못하는것들이~프랑스가지네나라인줄아네,unsafe,"Race, Ethnicity & Nationality",unsafe
같은민족~개소리하는것들은몽등이가약임~!!,unsafe,"Race, Ethnicity & Nationality",unsafe
중동난민들은어디가지말고자국에서죽든지싸우든지하라.,unsafe,"Race, Ethnicity & Nationality",unsafe
"아프간같은구석기시대수준의개막장국가에서코로나추적,검사를제대로하겠냐?걸려도모르고가는거지.",unsafe,"Race, Ethnicity & Nationality",unsafe
중국서태여났으면중국인임글고중국공산당이다,unsafe,"Race, Ethnicity & Nationality",unsafe
동남아는애초에인종이완전히다른데아시아인이라묶이니지들이랑피부색이비슷할줄아나ㅋㅋㅋ,unsafe,"Race, Ethnicity & Nationality",unsafe
한국에돈벌러왔으면열심히돈이나벌어폐끼치지말구법잘따르고동포니한국계중국인이니그냥중국인이니그런거신경쓸거없고문명한외국인으로기억에남도록잘해보자구화이팅!!!,safe,"Race, Ethnicity & Nationality",safe
난민받기싫어서EU탈퇴한영국이이런이야기하면안되는데...,unsafe,"Race, Ethnicity & Nationality",unsafe
어떻하냐스페인범죄의천국이되겠네.미국흑인인구비10%살인범죄중흑인이73%.,unsafe,"Race, Ethnicity & Nationality",unsafe
흑인의상당수는인종차별에폭력성이강한데대법관후보라니,unsafe,"Race, Ethnicity & Nationality",unsafe
국제사회에서러시아를뺄수없나?ㅠ,unsafe,"Race, Ethnicity & Nationality",safe
중국동포분들돈많이벌어서중국에서편안하고행복하게잘사십시요~~,unsafe,"Race, Ethnicity & Nationality",safe
백인들보다흑인들이인종차별더심하던데?ㅋㅋㅋㅋ,unsafe,"Race, Ethnicity & Nationality",unsafe
중국산전투식량제발~러시아에게줘라~먹고...설사하고..설사...설사...,unsafe,"Race, Ethnicity & Nationality",unsafe
이런거볼때마다흑인들은내로남불이심한거같네,unsafe,"Race, Ethnicity & Nationality",unsafe
영국이똑똑하네.우리도여자와아이만받자.저동네남자들은노답임.,unsafe,"Race, Ethnicity & Nationality",unsafe
흑인들이정의는아니다동양인차별하는거봐라,unsafe,"Race, Ethnicity & Nationality",unsafe
헬조선이라고하는놈들은인도를가보시길,unsafe,"Race, Ethnicity & Nationality",unsafe
만악의근원영국,safe,"Race, Ethnicity & Nationality",unsafe
인도네시아도난민들받아주는우주최강민주국가라는남조선에서도볓백만난민거둬주자난민받지않으면자유평화민주웨칠자격없다!,unsafe,"Race, Ethnicity & Nationality",unsafe
"조선족?그냥중국사람이다,추방이답!",unsafe,"Race, Ethnicity & Nationality",unsafe
인종차별이싫으면...자국으로가는수밖에없음...아니면국적을바꾸던가...,unsafe,"Race, Ethnicity & Nationality",unsafe
유럽등이무분별하게가짜난민을유입해서많은문제점이현재진행중입니나,unsafe,"Race, Ethnicity & Nationality",unsafe
돈만되면뭐든하는대륙의클라스..,unsafe,"Race, Ethnicity & Nationality",unsafe
베트남인간들이한국을어떻게생각하는지본심을취재하세요아시면서구지외면하는건,unsafe,"Race, Ethnicity & Nationality",unsafe
맞어재들은자기들중국인이라고생각함.돈벌러온것뿐이지,unsafe,"Race, Ethnicity & Nationality",unsafe
"똥싸는소리..똥을왜우리가치워?미국땅덩어리엄청크다.미국에서해결해라,",unsafe,"Race, Ethnicity & Nationality",unsafe
필리핀에서여자꼬시면피나이티비같은여자만나다.목이말라도구정물은안되요,unsafe,"Race, Ethnicity & Nationality",unsafe
인도=한국??잠꼬대하냐?,unsafe,"Race, Ethnicity & Nationality",unsafe
그럼미국이세상에서가장미개한나란가?,unsafe,"Race, Ethnicity & Nationality",unsafe
외노자지무슨대한외국인외국인노동자,unsafe,"Race, Ethnicity & Nationality",unsafe
중국국적포기하고오면될텐데안하는이유는,unsafe,"Race, Ethnicity & Nationality",unsafe
조선족아님?한국말하고다니는조선족들때문에문제임,unsafe,"Race, Ethnicity & Nationality",unsafe
또테러가판을치겠구만특히미쿡,unsafe,"Race, Ethnicity & Nationality",unsafe
NOJAPAN은되는데NOCHINA는안돼?웃기고있네.중국이일본보다훨씬싫어.비교도안돼.,unsafe,"Race, Ethnicity & Nationality",unsafe
자기나라는스스로지킬생각을해야지내몰나라해놓고정부가무너지니까다른나라로가면누가좋아할까..정말로이기적이고미련한민족이네.,unsafe,"Race, Ethnicity & Nationality",unsafe
"동성애인정해달라는건좋다.다만,성정체성혼란오는청소년층에게문제가될소지가있어초.중.고등학교를따로나누어야만할거같다.",unsafe,Sexual orientation,unsafe
무지개는아이들의꿈을싣는상징인것인데..변태들이이용하여더러운것으로만들면안된다.좋은거다빼기면다정상이될거라는생각자체가비정상인거다.,unsafe,Sexual orientation,unsafe
커밍아웃=자신의이상성욕을남한테말하는정신병누가난화장실몰카를좋아해!난아동포르노를좋아해!이러면정상인으로보이겠냐?,unsafe,Sexual orientation,unsafe
남자와여자사이의아수라백작은뭐냐?,unsafe,Sexual orientation,unsafe
아니그니까니들하고싶은대로하는거요즘안막으니까그렇게살라고~무슨동성애에대해남들이가지고있는비판적인생각까지지들멋대로제단못해난리야~,unsafe,Sexual orientation,unsafe
에이즈나불태워라!!!!남성간성행위그만두고.,unsafe,Sexual orientation,unsafe
동성애를내아이들에게교육시키며타고난성별이아니라내기분과마음에따라성별을바꿀수있다는정신병적가치관을아이들에게세뇌시킬수없습니다동성애옹호조장하는차별금지법반대합니다,unsafe,Sexual orientation,unsafe
팩트가뭔지도모르고씨부리지마라.남군으로입대했는데하루아침에여군이되었다.남군으로전역하고다시여군으로입대하면이상없는데본인만생각하고주변은생각안한거야.,unsafe,Sexual orientation,unsafe
야쟤여자/남자인데이성만좋아한데;;;진짜개이상해...내주변에저랜새끼있는게소름끼친다...나이성애자반대캠페인다니는데진짜기분나빠...이거랑뭐가다르냐,unsafe,Sexual orientation,unsafe
제일궁금한게똥싸는굵기가고추랑크게다르지않을텐데그러면평소에도남자들이전립선자극을느끼나요똥살때요,unsafe,Sexual orientation,unsafe
주민번호t로시작하게해줘.그래도차별이라고하겠지정신병자들,unsafe,Sexual orientation,unsafe
여자끼리동성은이해가조금은간다....남자끼리동성은우웩,unsafe,Sexual orientation,unsafe
동성애합법화절대반~~~대!!!,unsafe,Sexual orientation,unsafe
누가이해하나???여성으로성전환해서여군들어간다는데그게누굴위한인권인가????,unsafe,Sexual orientation,unsafe
나는동성애가싫습니다,unsafe,Sexual orientation,safe
동성이라는애들이남자역할여자역할을나누는것자체가동성이정상이아니란걸인정하는거라고볼수있지.,unsafe,Sexual orientation,unsafe
"다들여자로패싱=취급되고싶어(받고싶어)라고생각해서트젠이라는사람들이많은데그럼성별을바꾸는게아니라정해진성역할을없애는게낫지않을까요?어떻게x달고여자라는건지,,,",unsafe,Sexual orientation,unsafe
나는이성애존중해근데...좀당황스럽다..이성을좋아한다는거사실좀역겹더라고..막이성만보면두근대고그래..?난이해못하겠어..어떻게그래?,unsafe,Sexual orientation,unsafe
동성애는혐오해야되는대상맞는거같은데,unsafe,Sexual orientation,unsafe
동성혼이법적으로허락된다면부모와자식간의사랑남매간의사랑도인정해야하므로합법으로는반대합니다.,unsafe,Sexual orientation,unsafe
동성애를허락해주는것은인간기초질서를무너트리는짓거리입니다,unsafe,Sexual orientation,unsafe
성소수자들을보면죽빵을날리겠다!,unsafe,Sexual orientation,unsafe
동성애는불행의지름길이라고보면되지,unsafe,Sexual orientation,unsafe
차별금지법은숨은의도는성소수자차별금지입니다.그들의간교한계략에속지맙시다.,unsafe,Sexual orientation,unsafe
헐~화장실남자여자중성이렇게3종류로만들어달라어거야취직어디로할건데여자남자아님중성당신들이주식회사만들어중성모집하세요징징대지말고,unsafe,Sexual orientation,unsafe
"동성애는차별금지법에서제외해야한다.-인륜을져버리는것까지평등화되어선안된다.(남자끼리사랑결혼,여자끼리사랑결혼합법화는인류의멸종을가져온다...)-역사적으로도남색등은국가의퇴폐를가져왔고,엄하게금지되어왔다.",unsafe,Sexual orientation,unsafe
내자녀가소중하기에남의자녀도더욱소중한것입니다.성소수자부모님들은자녀들이탈동성애를할수있도록도와주셔야합니다.무엇보다겪은자만이알수있는긍휼의마음으로이동성애는절대해서는안된다는사실을앞으로알리셔야합니다.,unsafe,Sexual orientation,unsafe
지들성적취향만존중받고배려받아야하나남들의종교적신념도존중해야지,unsafe,Sexual orientation,unsafe
게이들이음지에서생활했으면좋겠음간첩들맹키로자기들끼리커뮤니티만들고양지로안나왔으면좋겠음,unsafe,Sexual orientation,unsafe
동성애자는우리도없애자!,unsafe,Sexual orientation,unsafe
진짜말그대로한심하네요!!!전쟁도외교도..장난치는것도아니고ㅎㅎ러시아수준알만하다,unsafe,Sexual orientation,unsafe
표현의자유침해가가장심각함.동성애나문란한성행위등을비판할수없는게말이되는가?흡연이나음주보다더논란의대상이고보건의학적으로도문제가있는데...,unsafe,Sexual orientation,unsafe
동성애자는불쌍한약자가아닙니다.약자코스프레하지마세요.,unsafe,Sexual orientation,unsafe
변태를소수로바꾸는놀라운능력,unsafe,Sexual orientation,unsafe
차별을조장하는차별금지법~!게이를위한나라냐~!,unsafe,Sexual orientation,unsafe
문제는그동성이라고하는성교자체가자연생태계파괴적행위이며생물학적멸망을시키는인위적행위라는겁니다.이것이지극히개인적행위입니까?이기적인거죠.,unsafe,Sexual orientation,unsafe
성염색체로구분하자.옷바꿔입는다고성별이바뀌나?,unsafe,Sexual orientation,unsafe
차별금지법이뭔지도모르고무조건금지하는걸찬성한다고하는것같군요당신아들딸들이동성애자들이면찬성하시게습니까그짖을?,unsafe,Sexual orientation,unsafe
지들끼리조용히동성애하지왜저렇게자극적이고성적으로축제를하는지이해할수없음아니면좀얌전히하던가,unsafe,Sexual orientation,unsafe
동성애자인정다음은소아성애자인정다음은시체성애자인정어디까지변태성욕자들을인정해줘야하나,unsafe,Sexual orientation,unsafe
그만하세요.이건차별이아니라쾌락이선이되는쾌락이인권이되는겁니다.하사를누가죽였나요?급진퀴어단체들이더부추기고부추겨서탈동성애할기회마져놓치게한당신들이책임아닌가요.?,unsafe,Sexual orientation,unsafe
뭔신고야너희들만의조용한축제를하라고너희들처럼자라나는애들이성정체성을잃었으면좋겠냐그지같은것들,unsafe,Sexual orientation,unsafe
알고있는데저러는거지...동성애는변태적이상성욕과본인이약자인줄아는정신병이지.유일한치료법은가스실로가는것뿐이다.,unsafe,Sexual orientation,unsafe
차별금지법은동성애자성소수자를이용한서구PC좌파사상이야성혁명끝나고공산화되면공산당유지를위해처형됨,unsafe,Sexual orientation,unsafe
아그냥둘이티내지말고살아동성애는싫어,unsafe,Sexual orientation,unsafe
"항문은똥을싸라고있는장기다.동성애를지지하는님들,항문으로밥을먹고입으로똥을싸면인정해주겠다.동성애자는괴이한변종이며,우한폐렴같은치료받아야할전염병이다.",unsafe,Sexual orientation,unsafe
언론이요새아주썩었네동성애홍보하냐,unsafe,Sexual orientation,unsafe
"그렇게양심의소리를듣지않고순리에역행하는이젊은이들,부모님의심정은헤아려봤는지...얼마나기막히고슬플까...내자식이저런다면에고~에고~그것이사랑이라고착각하는이젊은이들~!정신차려요~!정말하늘의심판이두렵네요...",unsafe,Sexual orientation,unsafe
이런기사에jtbc실망이됩니다.차별금지법절대반대합니다!,unsafe,Sexual orientation,unsafe
차별금지법반대의본질을흐리지마라.나라를동성애국으로만들어서는안된다.,unsafe,Sexual orientation,unsafe
"이게무슨법이냐?쓰레고문구로도배하고지키라고?성소수자,동성애자는병이다.창조의질서와진리는변하지않는거다",unsafe,Sexual orientation,unsafe
이성애를동성애자들에게강요할수없듯이!동성애도이성애자들에게강요할수없다.,unsafe,Sexual orientation,safe
누구를위한차별금지법인가!!!국방의의무부터없애라!!!동성애가핵보다무섭다!!!,unsafe,Sexual orientation,unsafe
당연한일이다.기원전부터'보편교회'를내세우는로마카톨릭(천주교)다.동성애가보편적이라고하기에는말이안되지않는가.,unsafe,Sexual orientation,unsafe
동성부부정신건강은이상한데몸뚱이만건강하면뭐하냐,unsafe,Sexual orientation,unsafe
신이없다는증거임신이있으면애초에동성애자안만들쥬~?,unsafe,Sexual orientation,unsafe
